order_id,customer_id,amount,currency,completed_ts
200000,5707,223.74,USD,2026-08-22 07:31:00
200001,8897,41.73,USD,2026-08-22 10:59:00
200002,1665,44.16,USD,2026-08-22 22:20:00
200003,4457,247.6,USD,2026-08-22 00:18:00
200004,1632,106.71,USD,2026-08-22 09:00:00
200005,1953,89.42,USD,2026-08-22 23:36:00
200006,3038,108.8,USD,2026-08-22 01:30:00
200007,1951,45.96,USD,2026-08-22 07:43:00
200008,7992,194.34,USD,2026-08-22 22:46:00
200009,5072,246.17,USD,2026-08-22 11:05:00
200010,1458,79.83,USD,2026-08-22 03:51:00
200011,6353,199.36,USD,2026-08-22 14:06:00
200012,8939,199.9,USD,2026-08-22 22:57:00
200013,6780,212.31,USD,2026-08-22 19:26:00
200014,2514,239.34,USD,2026-08-22 21:23:00
200015,6769,71.68,USD,2026-08-22 13:19:00
200016,2441,125.26,USD,2026-08-22 19:26:00
200017,4402,224.39,USD,2026-08-22 20:39:00
200018,8041,84.05,USD,2026-08-22 03:24:00
200019,3682,244.44,USD,2026-08-22 14:51:00
200020,9390,186.72,USD,2026-08-22 23:53:00
200021,3690,97.41,USD,2026-08-22 02:57:00
200022,1272,71.76,USD,2026-08-22 00:29:00
200023,3795,110.07,USD,2026-08-22 17:20:00
200024,9949,56.49,USD,2026-08-22 15:26:00
200025,1749,121.94,USD,2026-08-22 01:07:00
200026,5625,223.17,USD,2026-08-22 13:00:00
200027,8284,164.65,USD,2026-08-22 17:48:00
200028,6411,203.7,USD,2026-08-22 08:08:00
200029,7274,220.34,USD,2026-08-22 07:16:00
200030,6908,218.96,USD,2026-08-22 23:35:00
200031,7301,214.23,USD,2026-08-22 23:33:00
200032,5675,249.9,USD,2026-08-22 03:21:00
200033,9771,45.68,USD,2026-08-22 11:40:00
200034,1230,134.04,USD,2026-08-22 14:28:00
200035,8147,175.12,USD,2026-08-22 18:10:00
200036,2801,148.54,USD,2026-08-22 00:01:00
200037,7167,136.2,USD,2026-08-22 21:10:00
200038,3434,122.11,USD,2026-08-22 06:25:00
200039,9585,160.67,USD,2026-08-22 04:58:00
200040,5241,56.35,USD,2026-08-22 06:05:00
200041,6066,56.33,USD,2026-08-22 02:05:00
200042,6073,234.76,USD,2026-08-22 08:42:00
200043,1539,121.71,USD,2026-08-22 16:00:00
200044,1020,208.88,USD,2026-08-22 11:04:00
200045,4704,34.92,USD,2026-08-22 09:44:00
200046,5568,18.84,USD,2026-08-22 08:37:00
200047,4386,235.5,USD,2026-08-22 23:26:00
200048,6562,225.05,USD,2026-08-22 00:07:00
200049,4204,243.52,USD,2026-08-22 19:39:00
200050,1697,209.49,USD,2026-08-22 16:16:00
200051,1353,131.51,USD,2026-08-22 08:05:00
200052,4490,93.45,USD,2026-08-22 07:51:00
200053,7806,207.09,USD,2026-08-22 08:25:00
200054,8389,87.74,USD,2026-08-22 01:55:00
200055,2711,42.63,USD,2026-08-22 08:27:00
200056,4204,112.36,USD,2026-08-22 01:29:00
200057,2976,115.98,USD,2026-08-22 06:25:00
200058,7018,190.22,USD,2026-08-22 18:09:00
200059,4807,56.14,USD,2026-08-22 12:13:00
200060,7199,226.43,USD,2026-08-22 02:52:00
200061,8490,154.35,USD,2026-08-22 23:03:00
200062,7050,186.04,USD,2026-08-22 23:48:00
200063,4774,188.04,USD,2026-08-22 21:09:00
200064,1727,103.7,USD,2026-08-22 09:07:00
200065,4717,197.26,USD,2026-08-22 09:24:00
200066,3174,183.83,USD,2026-08-22 22:53:00
200067,4842,167.73,USD,2026-08-22 20:17:00
200068,8698,17.61,USD,2026-08-22 14:02:00
200069,4460,92.98,USD,2026-08-22 03:00:00
200070,3620,144.05,USD,2026-08-22 14:20:00
200071,5618,19.43,USD,2026-08-22 16:54:00
200072,7226,40.62,USD,2026-08-22 22:32:00
200073,2163,86.08,USD,2026-08-22 22:30:00
200074,4652,206.44,USD,2026-08-22 23:19:00
200075,8123,127.88,USD,2026-08-22 11:23:00
200076,8310,22.18,USD,2026-08-22 03:38:00
200077,8186,45.4,USD,2026-08-22 00:43:00
200078,6763,229.8,USD,2026-08-22 08:32:00
200079,5824,165.52,USD,2026-08-22 12:27:00
200080,1329,129.33,USD,2026-08-22 01:32:00
