order_id,customer_id,amount,currency,completed_at
100000,8578,194.23,USD,2026-08-22 09:44:00
100001,2577,179.13,USD,2026-08-22 11:42:00
100002,1313,132.09,USD,2026-08-22 14:38:00
100003,9961,150.51,USD,2026-08-22 16:27:00
100004,2758,56.4,USD,2026-08-22 13:25:00
100005,3631,51.06,USD,2026-08-22 03:24:00
100006,7338,131.55,USD,2026-08-22 16:53:00
100007,3979,78.9,USD,2026-08-22 19:32:00
100008,2002,26.5,USD,2026-08-22 12:04:00
100009,5852,212.19,USD,2026-08-22 05:03:00
100010,2688,33.11,USD,2026-08-22 08:56:00
100011,2000,234.21,USD,2026-08-22 18:41:00
100012,6427,161.35,USD,2026-08-22 03:54:00
100013,8189,171.07,USD,2026-08-22 10:33:00
100014,6235,214.36,USD,2026-08-22 05:08:00
100015,7030,153.98,USD,2026-08-22 01:56:00
100016,2152,172.89,USD,2026-08-22 23:11:00
100017,9108,41.63,USD,2026-08-22 17:42:00
100018,1677,183.07,USD,2026-08-22 23:23:00
100019,2370,156.44,USD,2026-08-22 15:26:00
100020,3524,166.57,USD,2026-08-22 11:08:00
100021,9768,87.27,USD,2026-08-22 18:51:00
100022,3401,152.98,USD,2026-08-22 13:28:00
100023,3036,227.33,USD,2026-08-22 00:06:00
100024,6531,19.01,USD,2026-08-22 04:47:00
100025,5243,140.1,USD,2026-08-22 03:45:00
100026,7317,213.27,USD,2026-08-22 22:29:00
100027,4376,22.85,USD,2026-08-22 02:45:00
100028,7610,60.59,USD,2026-08-22 21:25:00
100029,6363,152.79,USD,2026-08-22 08:38:00
100030,9807,27.18,USD,2026-08-22 12:22:00
100031,1837,209.43,USD,2026-08-22 05:50:00
100032,4636,240.32,USD,2026-08-22 21:14:00
100033,7287,197.5,USD,2026-08-22 11:12:00
100034,9215,29.26,USD,2026-08-22 12:14:00
100035,9942,21.39,USD,2026-08-22 01:06:00
100036,9251,135.05,USD,2026-08-22 19:54:00
100037,5317,151.05,USD,2026-08-22 16:07:00
100038,7407,120.48,USD,2026-08-22 07:08:00
100039,4596,16.44,USD,2026-08-22 04:15:00
100040,4293,161.27,USD,2026-08-22 03:36:00
100041,4061,39.79,USD,2026-08-22 12:27:00
100042,5278,92.17,USD,2026-08-22 12:07:00
100043,3480,142.12,USD,2026-08-22 17:08:00
100044,1718,61.93,USD,2026-08-22 22:15:00
100045,5477,127.54,USD,2026-08-22 02:17:00
100046,6564,32.29,USD,2026-08-22 20:50:00
100047,4399,17.35,USD,2026-08-23 10:14:00
100048,8279,50.33,USD,2026-08-23 15:40:00
100049,8275,128.02,USD,2026-08-23 09:46:00
100050,9986,241.5,USD,2026-08-23 09:58:00
100051,8008,144.07,USD,2026-08-23 15:54:00
100052,2154,136.74,USD,2026-08-23 23:27:00
100053,3524,233.72,USD,2026-08-23 06:39:00
100054,2772,20.83,USD,2026-08-23 19:47:00
100055,4790,35.73,USD,2026-08-23 20:44:00
100056,9463,158.51,USD,2026-08-23 06:12:00
100057,8570,54.92,USD,2026-08-23 01:16:00
100058,8510,30.08,USD,2026-08-23 13:19:00
100059,3283,77.68,USD,2026-08-23 14:44:00
100060,6452,90.52,USD,2026-08-23 03:51:00
100061,8331,199.1,USD,2026-08-23 11:06:00
100062,4452,211.49,USD,2026-08-23 10:19:00
100063,7134,123.81,USD,2026-08-23 07:50:00
100064,5811,71.38,USD,2026-08-23 09:27:00
100065,3973,26.43,USD,2026-08-23 16:40:00
100066,3556,45.75,USD,2026-08-23 09:56:00
100067,9315,56.96,USD,2026-08-23 06:08:00
100068,5275,228.17,USD,2026-08-23 22:45:00
100069,4051,229.73,USD,2026-08-23 15:24:00
100070,9444,222.19,USD,2026-08-23 08:53:00
100071,8137,39.3,USD,2026-08-23 11:08:00
100072,5175,192.98,USD,2026-08-23 09:32:00
100073,9485,149.14,USD,2026-08-23 03:09:00
100074,8197,103.37,USD,2026-08-23 12:03:00
100075,9891,147.04,USD,2026-08-23 20:29:00
100076,8973,17.1,USD,2026-08-23 20:06:00
100077,2763,32.92,USD,2026-08-23 15:52:00
100078,2436,63.31,USD,2026-08-23 21:46:00
100079,8855,142.81,USD,2026-08-23 21:43:00
100080,2348,99.3,USD,2026-08-23 04:11:00
100081,2451,231.6,USD,2026-08-23 08:21:00
100082,1368,90.55,USD,2026-08-23 17:53:00
100083,3012,63.18,USD,2026-08-23 20:22:00
100084,2365,28.87,USD,2026-08-23 13:29:00
100085,4295,39.54,USD,2026-08-23 07:57:00
100086,7504,72.48,USD,2026-08-23 19:13:00
100087,5983,41.07,USD,2026-08-23 01:57:00
100088,9221,159.71,USD,2026-08-23 00:04:00
100089,4678,204.91,USD,2026-08-23 21:54:00
100090,4052,108.49,USD,2026-08-23 08:17:00
100091,9048,182.25,USD,2026-08-23 05:40:00
100092,7657,237.54,USD,2026-08-23 18:26:00
100093,4341,122.99,USD,2026-08-23 21:21:00
100094,8944,164.53,USD,2026-08-23 14:27:00
100095,3532,206.4,USD,2026-08-23 00:33:00
100096,2840,150.97,USD,2026-08-24 01:57:00
100097,2719,33.2,USD,2026-08-24 02:28:00
100098,5119,162.85,USD,2026-08-24 03:01:00
100099,9591,133.13,USD,2026-08-24 22:41:00
100100,1180,131.63,USD,2026-08-24 12:14:00
100101,7413,101.01,USD,2026-08-24 07:20:00
100102,9568,17.56,USD,2026-08-24 02:08:00
100103,8085,169.08,USD,2026-08-24 19:04:00
100104,2685,30.07,USD,2026-08-24 01:43:00
100105,9346,232.24,USD,2026-08-24 17:35:00
100106,6255,179.61,USD,2026-08-24 00:22:00
100107,9896,171.6,USD,2026-08-24 11:18:00
100108,2449,184.96,USD,2026-08-24 00:28:00
100109,1326,17.44,USD,2026-08-24 00:39:00
100110,9824,74.38,USD,2026-08-24 13:17:00
100111,6029,98.76,USD,2026-08-24 09:01:00
100112,7515,235.75,USD,2026-08-24 01:07:00
100113,6121,78.71,USD,2026-08-24 09:50:00
100114,4545,25.33,USD,2026-08-24 02:22:00
100115,6899,112.85,USD,2026-08-24 17:07:00
100116,2796,81.38,USD,2026-08-24 18:28:00
100117,4060,133.26,USD,2026-08-24 15:22:00
100118,8846,114.77,USD,2026-08-24 03:28:00
100119,5366,172.71,USD,2026-08-24 05:14:00
100120,2671,162.08,USD,2026-08-24 08:31:00
100121,9331,82.86,USD,2026-08-24 10:20:00
100122,8893,117.83,USD,2026-08-24 16:45:00
100123,7333,197.61,USD,2026-08-24 23:16:00
100124,1337,232.67,USD,2026-08-24 12:54:00
100125,5765,18.44,USD,2026-08-24 20:49:00
100126,6242,97.21,USD,2026-08-24 06:47:00
100127,8211,155.76,USD,2026-08-24 04:33:00
100128,5093,16.8,USD,2026-08-24 13:37:00
100129,1148,86.27,USD,2026-08-24 17:20:00
100130,1993,220.31,USD,2026-08-24 18:32:00
100131,2967,219.73,USD,2026-08-24 09:45:00
100132,3421,94.03,USD,2026-08-24 14:47:00
100133,2498,21.77,USD,2026-08-24 20:14:00
100134,8228,55.47,USD,2026-08-24 08:16:00
100135,3734,25.82,USD,2026-08-24 16:55:00
100136,3217,85.34,USD,2026-08-24 02:24:00
100137,2130,165.45,USD,2026-08-24 16:52:00
100138,6889,120.17,USD,2026-08-24 11:39:00
100139,2103,232.87,USD,2026-08-24 02:42:00
100140,7809,44.99,USD,2026-08-24 03:09:00
100141,7468,78.85,USD,2026-08-24 09:22:00
100142,6704,248.55,USD,2026-08-24 04:40:00
100143,1317,234.79,USD,2026-08-24 10:53:00
100144,4007,72.42,USD,2026-08-24 04:52:00
100145,9959,36.71,USD,2026-08-24 20:21:00
100146,7248,164.85,USD,2026-08-24 14:45:00
100147,3634,84.66,USD,2026-08-24 10:58:00
100148,9516,115.63,USD,2026-08-24 07:12:00
100149,4911,92.17,USD,2026-08-24 12:56:00
