order_id,customer_id,amount,currency,completed_at
1,5012,189.26,USD,2026-08-01 03:01:00
2,9935,188.07,USD,2026-08-01 07:08:00
3,1488,114.15,USD,2026-08-01 02:37:00
4,1434,69.68,USD,2026-08-01 02:13:00
5,9928,183.26,USD,2026-08-01 17:12:00
6,5557,120.56,USD,2026-08-01 13:14:00
7,7924,204.37,USD,2026-08-01 00:48:00
8,6514,51.54,USD,2026-08-01 10:17:00
9,6881,104.28,USD,2026-08-01 03:05:00
10,1711,77.16,USD,2026-08-01 11:38:00
11,7201,141.01,USD,2026-08-01 23:29:00
12,6925,83.9,USD,2026-08-01 02:35:00
13,1750,180.57,USD,2026-08-01 18:12:00
14,2307,196.67,USD,2026-08-01 21:14:00
15,5554,38.74,USD,2026-08-01 07:55:00
16,3664,211.02,USD,2026-08-01 14:40:00
17,5374,64.23,USD,2026-08-01 11:22:00
18,2169,175.63,USD,2026-08-01 22:59:00
19,5010,55.22,USD,2026-08-01 19:40:00
20,4598,104.17,USD,2026-08-01 05:29:00
21,1916,213.07,USD,2026-08-01 21:20:00
22,6168,22.54,USD,2026-08-01 07:52:00
23,6155,30.55,USD,2026-08-01 12:17:00
24,8517,132.32,USD,2026-08-01 06:41:00
25,9830,47.81,USD,2026-08-01 04:16:00
26,7543,152.38,USD,2026-08-01 08:47:00
27,3266,249.37,USD,2026-08-01 11:14:00
28,1771,36.36,USD,2026-08-01 16:31:00
29,7916,162.45,USD,2026-08-01 03:09:00
30,8668,105.42,USD,2026-08-01 19:04:00
31,1188,243.2,USD,2026-08-01 16:16:00
32,9797,41.92,USD,2026-08-01 21:46:00
33,2827,165.63,USD,2026-08-01 08:49:00
34,1053,52.17,USD,2026-08-01 09:27:00
35,9201,184.12,USD,2026-08-01 23:56:00
36,5889,229.47,USD,2026-08-01 05:32:00
37,3504,158.11,USD,2026-08-01 20:32:00
38,9689,52.96,USD,2026-08-01 11:48:00
39,1319,91.18,USD,2026-08-01 00:38:00
40,6038,100.3,USD,2026-08-01 03:59:00
41,2290,71.6,USD,2026-08-01 07:03:00
42,2133,129.21,USD,2026-08-01 02:46:00
43,8787,44.55,USD,2026-08-01 17:49:00
44,7932,77.29,USD,2026-08-01 17:10:00
45,4295,141.73,USD,2026-08-01 06:59:00
46,7118,108.76,USD,2026-08-01 22:19:00
47,2982,136.63,USD,2026-08-01 14:57:00
48,1344,30.05,USD,2026-08-01 07:14:00
49,4608,69.08,USD,2026-08-01 18:35:00
50,1964,181.34,USD,2026-08-01 00:04:00
51,6413,227.77,USD,2026-08-01 07:04:00
52,8953,70.93,USD,2026-08-01 02:32:00
53,8744,46.09,USD,2026-08-01 06:34:00
54,7669,126.15,USD,2026-08-01 07:50:00
55,8062,37.78,USD,2026-08-01 06:06:00
56,1887,111.61,USD,2026-08-01 11:27:00
57,2612,246.28,USD,2026-08-01 21:41:00
58,2790,186.13,USD,2026-08-01 01:25:00
59,8350,59.7,USD,2026-08-01 07:12:00
60,8579,58.12,USD,2026-08-01 04:27:00
61,8260,231.97,USD,2026-08-01 07:55:00
62,9856,26.89,USD,2026-08-01 17:06:00
63,4872,232.7,USD,2026-08-01 00:05:00
64,4502,129.13,USD,2026-08-01 05:26:00
65,7209,28.78,USD,2026-08-01 12:57:00
66,8454,77.32,USD,2026-08-01 00:24:00
67,8973,178.7,USD,2026-08-01 09:27:00
68,1958,84.73,USD,2026-08-01 04:12:00
69,6138,142.42,USD,2026-08-01 18:47:00
70,9238,152.28,USD,2026-08-01 01:03:00
71,9320,28.37,USD,2026-08-01 16:10:00
72,2113,58.67,USD,2026-08-01 02:54:00
73,2964,70.27,USD,2026-08-01 21:55:00
74,1651,151.05,USD,2026-08-01 18:15:00
75,9565,113.52,USD,2026-08-01 19:05:00
76,6147,76.28,USD,2026-08-01 10:59:00
77,5915,108.01,USD,2026-08-01 07:16:00
78,2188,233.32,USD,2026-08-01 14:20:00
79,2638,160.97,USD,2026-08-01 00:29:00
80,5345,65.09,USD,2026-08-01 02:34:00
81,2127,97.02,USD,2026-08-01 04:59:00
82,8179,81.97,USD,2026-08-01 07:23:00
83,9666,86.09,USD,2026-08-01 17:45:00
84,5905,207.02,USD,2026-08-01 00:42:00
85,3200,235.65,USD,2026-08-01 21:06:00
86,3546,224.08,USD,2026-08-01 08:07:00
87,6617,157.14,USD,2026-08-01 08:18:00
88,5325,164.05,USD,2026-08-01 06:43:00
89,1832,74.01,USD,2026-08-01 16:31:00
90,5533,114.54,USD,2026-08-01 02:40:00
91,3143,93.39,USD,2026-08-01 01:00:00
92,8239,52.97,USD,2026-08-01 20:16:00
93,1158,115.51,USD,2026-08-01 17:45:00
94,3442,237.09,USD,2026-08-01 03:04:00
95,3426,211.13,USD,2026-08-01 17:02:00
96,6974,24.83,USD,2026-08-01 13:08:00
97,5088,99.09,USD,2026-08-01 01:57:00
98,7658,98.11,USD,2026-08-01 21:06:00
99,4878,51.32,USD,2026-08-01 19:47:00
100,7755,205.53,USD,2026-08-01 05:51:00
101,6442,188.09,USD,2026-08-01 00:11:00
102,5065,172.43,USD,2026-08-01 13:51:00
103,2771,200.03,USD,2026-08-01 08:10:00
104,8711,24.1,USD,2026-08-01 12:55:00
105,8541,206.9,USD,2026-08-01 07:12:00
106,4728,207.83,USD,2026-08-01 11:19:00
107,7528,170.11,USD,2026-08-01 07:01:00
108,5573,218.12,USD,2026-08-01 10:17:00
109,9785,134.71,USD,2026-08-01 11:41:00
110,5279,42.11,USD,2026-08-01 10:01:00
111,5349,241.2,USD,2026-08-01 05:37:00
112,6663,155.19,USD,2026-08-01 01:06:00
113,9379,88.71,USD,2026-08-01 23:50:00
114,4114,226.38,USD,2026-08-01 03:24:00
115,1027,181.56,USD,2026-08-01 08:02:00
116,4228,204.53,USD,2026-08-01 16:59:00
117,6409,31.44,USD,2026-08-01 11:27:00
118,3041,170.9,USD,2026-08-01 19:20:00
119,6067,85.58,USD,2026-08-01 23:57:00
120,5844,91.65,USD,2026-08-01 21:26:00
121,7211,60.08,USD,2026-08-01 17:08:00
122,5930,227.16,USD,2026-08-01 21:47:00
123,5978,210.93,USD,2026-08-01 12:35:00
124,6279,116.02,USD,2026-08-01 09:13:00
125,4501,118.91,USD,2026-08-01 14:28:00
126,3780,201.53,USD,2026-08-01 16:30:00
