order_id,customer_id,amount,currency,completed_at
300000,8629,121.18,USD,2026-08-28 14:55:35
300001,9387,126.8,USD,2026-08-28 18:12:11
300002,2542,119.95,USD,2026-08-28 19:50:11
300003,1686,154.93,USD,2026-08-28 04:05:34
300004,3580,161.44,USD,2026-08-28 12:28:41
300005,1584,59.7,USD,2026-08-28 16:04:03
300006,8601,91.68,USD,2026-08-28 07:38:01
300007,9505,69.91,USD,2026-08-28 18:53:12
300008,2392,122.47,USD,2026-08-28 09:31:00
300009,2363,181.34,USD,2026-08-28 08:26:35
300010,9403,82.92,USD,2026-08-28 10:48:14
300011,2768,109.09,USD,2026-08-28 02:36:49
300012,1276,214.12,USD,2026-08-28 09:24:04
300013,1857,125.45,USD,2026-08-28 00:13:13
300014,2196,148.07,USD,2026-08-28 22:25:26
300015,5420,94.17,USD,2026-08-28 06:49:43
300016,7718,193.14,USD,2026-08-28 09:21:00
300017,2655,17.57,USD,2026-08-28 03:08:15
300018,3911,175.29,USD,2026-08-28 14:51:31
300019,4124,246.54,USD,2026-08-28 06:28:32
300020,7287,42.38,USD,2026-08-28 04:26:41
300021,5420,218.12,USD,2026-08-28 13:13:00
300022,1321,64.52,USD,2026-08-28 18:19:56
300023,2643,24.9,USD,2026-08-28 12:54:38
300024,5231,17.25,USD,2026-08-28 04:13:28
300025,5854,105.75,USD,2026-08-28 19:21:53
300026,4981,18.64,USD,2026-08-28 02:05:13
300027,8425,44.9,USD,2026-08-28 11:23:39
300028,3223,218.63,USD,2026-08-28 18:30:53
300029,6092,228.48,USD,2026-08-28 05:40:09
300030,4109,52.24,USD,2026-08-28 19:15:46
300031,7360,222.31,USD,2026-08-28 20:35:12
300032,1776,39.4,USD,2026-08-28 19:05:26
300033,4906,188.86,USD,2026-08-28 01:32:16
300034,9044,83.96,USD,2026-08-28 12:16:26
300035,2126,44.7,USD,2026-08-28 05:59:46
300036,2214,80.85,USD,2026-08-28 15:35:41
300037,2133,78.26,USD,2026-08-28 06:47:01
300038,1763,56.42,USD,2026-08-28 14:15:03
300039,3155,36.67,USD,2026-08-28 11:33:36
300040,6422,169.38,USD,2026-08-28 04:57:28
300041,3299,153.62,USD,2026-08-28 22:33:37
300042,6856,179.73,USD,2026-08-28 00:30:58
300043,2226,128.33,USD,2026-08-28 01:01:38
300044,3238,249.85,USD,2026-08-28 23:19:20
300045,7025,188.2,USD,2026-08-28 02:28:34
300046,3122,201.42,USD,2026-08-28 23:47:45
300047,8754,226.7,USD,2026-08-28 10:22:05
300048,9190,149.61,USD,2026-08-28 13:50:01
300049,7212,151.93,USD,2026-08-28 19:42:24
300050,2485,165.26,USD,2026-08-28 19:04:05
300051,6409,106.28,USD,2026-08-28 08:56:26
300052,8499,118.52,USD,2026-08-28 23:44:37
300053,9430,22.0,USD,2026-08-28 17:05:33
300054,1365,69.1,USD,2026-08-28 19:05:30
300055,8967,75.12,USD,2026-08-28 22:07:31
300056,3346,174.36,USD,2026-08-28 00:23:19
300057,6611,170.1,USD,2026-08-28 06:33:10
300058,4956,91.84,USD,2026-08-28 14:31:57
300059,8059,203.87,USD,2026-08-28 21:16:12
300060,7298,66.6,USD,2026-08-28 06:56:13
300061,3204,131.67,USD,2026-08-28 10:13:08
300062,5535,208.14,USD,2026-08-28 01:45:04
300063,5508,232.55,USD,2026-08-28 03:28:30
300064,9519,131.06,USD,2026-08-28 13:24:40
300065,8413,90.28,USD,2026-08-28 10:45:53
300066,1679,174.39,USD,2026-08-28 01:17:55
300067,6063,167.58,USD,2026-08-28 08:36:22
300068,3226,110.22,USD,2026-08-28 18:01:41
300069,5364,70.79,USD,2026-08-28 06:01:49
300070,2889,119.92,USD,2026-08-28 04:50:03
300071,7040,240.24,USD,2026-08-28 20:34:41
300072,8784,75.17,USD,2026-08-28 21:12:12
300073,8736,140.69,USD,2026-08-28 22:00:48
300074,5462,197.97,USD,2026-08-28 01:11:14
300075,9198,159.4,USD,2026-08-28 17:44:33
300076,4668,35.49,USD,2026-08-28 05:25:54
300077,8381,121.58,USD,2026-08-28 23:24:08
300078,1110,103.55,USD,2026-08-28 20:56:58
300079,9235,202.24,USD,2026-08-28 18:41:56
300080,4356,38.26,USD,2026-08-28 10:29:20
300081,3023,65.12,USD,2026-08-28 20:59:45
300082,9797,244.54,USD,2026-08-28 12:05:19
300083,1256,96.9,USD,2026-08-28 10:16:58
300084,6604,144.32,USD,2026-08-28 02:02:28
300085,1465,66.3,USD,2026-08-28 08:31:58
300086,1575,55.63,USD,2026-08-28 02:27:51
300087,3301,125.58,USD,2026-08-28 10:43:50
300088,9490,212.39,USD,2026-08-28 16:57:46
300089,9070,151.05,USD,2026-08-28 22:28:56
300090,4627,118.26,USD,2026-08-28 22:05:48
300091,3692,137.85,USD,2026-08-28 17:18:53
300092,7245,239.37,USD,2026-08-28 17:16:19
300093,3312,242.58,USD,2026-08-28 19:13:19
300094,9153,62.23,USD,2026-08-28 16:17:36
300095,1080,157.23,USD,2026-08-28 17:07:32
300096,9454,230.58,USD,2026-08-28 00:34:02
300097,2997,130.39,USD,2026-08-28 17:51:36
300098,9826,122.85,USD,2026-08-28 22:10:04
300099,8752,130.86,USD,2026-08-28 12:17:15
300100,8807,138.37,USD,2026-08-28 10:27:57
300101,1481,232.44,USD,2026-08-28 03:12:26
300102,1373,23.37,USD,2026-08-28 04:44:49
300103,5654,90.69,USD,2026-08-28 04:14:00
300104,9172,39.65,USD,2026-08-28 11:15:39
300105,9363,161.53,USD,2026-08-28 23:37:07
300106,9689,221.5,USD,2026-08-28 22:12:44
300107,7773,208.92,USD,2026-08-28 00:24:40
300108,4346,218.0,USD,2026-08-28 19:10:34
300109,9677,65.8,USD,2026-08-28 17:40:13
300110,3235,69.67,USD,2026-08-28 17:39:37
300111,6695,227.13,USD,2026-08-28 23:40:51
300112,4189,66.26,USD,2026-08-28 10:38:20
300113,3194,223.91,USD,2026-08-28 06:56:06
300114,5251,106.16,USD,2026-08-28 04:46:05
300115,9901,200.63,USD,2026-08-28 13:53:26
300116,1290,37.57,USD,2026-08-28 04:12:25
300117,6919,42.12,USD,2026-08-28 18:43:22
300118,6627,133.15,USD,2026-08-28 16:40:48
300119,2155,128.29,USD,2026-08-28 21:53:12
300120,9434,227.7,USD,2026-08-28 00:02:48
300121,4023,42.01,USD,2026-08-28 15:09:12
300122,5638,232.82,USD,2026-08-28 05:53:10
300123,3202,238.6,USD,2026-08-28 03:37:03
300124,2584,91.8,USD,2026-08-28 14:04:48
300125,6809,116.07,USD,2026-08-28 14:27:32
300126,1669,213.4,USD,2026-08-28 19:23:00
300127,6891,188.74,USD,2026-08-28 05:26:29
300128,3704,37.28,USD,2026-08-28 12:58:12
300129,2389,203.4,USD,2026-08-28 00:20:57
300130,7627,148.88,USD,2026-08-28 22:56:55
