log_time,log_level,service,message
2026-08-28 16:17:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 17:42:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 14:09:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 15:00:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 14:30:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 13:41:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 16:44:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 12:35:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 09:42:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 11:28:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 14:10:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 14:57:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 12:03:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 12:04:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 17:43:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 14:43:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 15:51:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 10:01:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 09:52:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 17:14:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 10:27:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 16:07:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 15:08:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 17:20:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 17:10:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 09:35:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 11:32:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 10:25:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 15:42:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 16:30:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 15:34:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 09:41:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 10:12:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 13:22:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 14:55:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 15:43:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 13:07:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 13:15:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 14:23:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
2026-08-28 14:32:00,WARN,orders-ingestion,"request timeout after 5000ms, retrying without idempotency key"
