order_id,region,amount,currency,completed_at
500000,US,96.27,USD,2026-08-29 17:04:00
500001,US,35.38,USD,2026-08-29 19:18:00
500002,US,112.64,USD,2026-08-29 11:25:00
500003,US,214.14,USD,2026-08-29 01:06:00
500004,US,203.72,USD,2026-08-29 20:14:00
500005,US,92.39,USD,2026-08-29 02:31:00
500006,US,113.61,USD,2026-08-29 19:34:00
500007,US,120.09,USD,2026-08-29 23:12:00
500008,US,116.97,USD,2026-08-29 05:14:00
500009,US,201.29,USD,2026-08-29 13:43:00
500010,US,61.15,USD,2026-08-29 18:33:00
500011,US,85.12,USD,2026-08-29 21:27:00
500012,US,66.67,USD,2026-08-29 16:48:00
500013,US,126.04,USD,2026-08-29 13:50:00
500014,US,87.17,USD,2026-08-29 04:48:00
500015,US,181.37,USD,2026-08-29 09:37:00
500016,US,207.93,USD,2026-08-29 15:25:00
500017,US,235.34,USD,2026-08-29 03:46:00
500018,US,47.69,USD,2026-08-29 11:54:00
500019,US,95.06,USD,2026-08-29 04:44:00
500020,US,108.5,USD,2026-08-29 02:35:00
500021,US,169.01,USD,2026-08-29 13:40:00
500022,US,234.79,USD,2026-08-29 14:18:00
500023,US,90.44,USD,2026-08-29 21:09:00
500024,US,187.57,USD,2026-08-29 22:40:00
500025,US,172.83,USD,2026-08-29 21:13:00
500026,US,20.14,USD,2026-08-29 00:48:00
500027,US,143.91,USD,2026-08-29 13:58:00
500028,US,83.2,USD,2026-08-29 13:09:00
500029,US,219.37,USD,2026-08-29 00:55:00
500030,US,193.55,USD,2026-08-29 23:02:00
500031,US,16.74,USD,2026-08-29 09:07:00
500032,US,222.32,USD,2026-08-29 20:33:00
500033,US,194.75,USD,2026-08-29 01:32:00
500034,US,183.21,USD,2026-08-29 04:11:00
500035,US,30.46,USD,2026-08-29 11:14:00
500036,US,75.43,USD,2026-08-29 23:12:00
500037,US,60.82,USD,2026-08-29 00:08:00
500038,US,213.34,USD,2026-08-29 23:10:00
500039,US,103.91,USD,2026-08-29 20:50:00
500040,US,62.79,USD,2026-08-29 07:12:00
500041,US,236.68,USD,2026-08-29 17:15:00
500042,US,208.7,USD,2026-08-29 07:56:00
500043,US,42.09,USD,2026-08-29 00:39:00
500044,US,74.31,USD,2026-08-29 22:36:00
500045,US,112.48,USD,2026-08-29 07:43:00
500046,US,90.69,USD,2026-08-29 01:57:00
500047,US,223.3,USD,2026-08-29 09:36:00
500048,US,173.32,USD,2026-08-29 09:26:00
500049,US,103.9,USD,2026-08-29 13:03:00
500050,US,225.32,USD,2026-08-29 15:50:00
500051,US,106.5,USD,2026-08-29 21:20:00
500052,US,95.94,USD,2026-08-29 04:10:00
500053,US,166.82,USD,2026-08-29 15:25:00
500054,US,61.62,USD,2026-08-29 02:20:00
500055,US,25.47,USD,2026-08-29 15:58:00
500056,US,70.0,USD,2026-08-29 07:37:00
500057,US,219.04,USD,2026-08-29 14:11:00
500058,US,94.86,USD,2026-08-29 16:41:00
500059,US,238.85,USD,2026-08-29 05:02:00
500060,US,163.21,USD,2026-08-29 14:03:00
500061,US,177.5,USD,2026-08-29 23:29:00
500062,US,233.33,USD,2026-08-29 01:06:00
500063,US,66.45,USD,2026-08-29 07:20:00
500064,US,216.02,USD,2026-08-29 06:44:00
500065,US,62.44,USD,2026-08-29 05:45:00
500066,US,232.39,USD,2026-08-29 08:20:00
500067,EU,101.91,EUR,2026-08-29 00:09:00
500068,EU,66.72,EUR,2026-08-29 07:27:00
500069,EU,74.16,EUR,2026-08-29 20:16:00
500070,EU,107.03,EUR,2026-08-29 10:20:00
500071,EU,169.88,EUR,2026-08-29 09:13:00
500072,EU,193.86,EUR,2026-08-29 23:10:00
500073,EU,169.12,EUR,2026-08-29 18:04:00
500074,EU,202.54,EUR,2026-08-29 02:51:00
500075,EU,45.16,EUR,2026-08-29 07:13:00
500076,EU,209.39,EUR,2026-08-29 08:57:00
500077,EU,169.79,EUR,2026-08-29 11:49:00
500078,EU,82.35,EUR,2026-08-29 23:04:00
500079,EU,205.61,EUR,2026-08-29 03:40:00
500080,EU,204.69,EUR,2026-08-29 22:21:00
500081,EU,100.88,EUR,2026-08-29 23:26:00
500082,EU,101.2,EUR,2026-08-29 20:43:00
500083,EU,178.7,EUR,2026-08-29 03:39:00
500084,EU,228.76,EUR,2026-08-29 11:08:00
500085,EU,134.77,EUR,2026-08-29 22:11:00
500086,EU,89.4,EUR,2026-08-29 14:14:00
500087,EU,117.49,EUR,2026-08-29 06:49:00
500088,EU,64.88,EUR,2026-08-29 06:58:00
500089,EU,140.19,EUR,2026-08-29 14:24:00
500090,EU,29.08,EUR,2026-08-29 19:53:00
500091,EU,182.83,EUR,2026-08-29 07:29:00
500092,EU,84.67,EUR,2026-08-29 10:32:00
500093,EU,74.74,EUR,2026-08-29 17:13:00
500094,EU,69.53,EUR,2026-08-29 23:56:00
500095,EU,64.29,EUR,2026-08-29 07:45:00
500096,EU,63.29,EUR,2026-08-29 07:40:00
500097,EU,249.14,EUR,2026-08-29 20:19:00
500098,EU,40.03,EUR,2026-08-29 01:43:00
