order_id,promo_code
600000,SUMMER10
600001,SUMMER10
600002,SUMMER10
600003,SUMMER10
600004,SUMMER10
600005,SUMMER10
600006,SUMMER10
600007,SUMMER10
600007,LOYALTY5
600008,SUMMER10
600009,SUMMER10
600010,SUMMER10
600011,SUMMER10
600012,SUMMER10
600012,LOYALTY5
600013,SUMMER10
600013,LOYALTY5
600014,SUMMER10
600014,LOYALTY5
600015,SUMMER10
600016,SUMMER10
600017,SUMMER10
600018,SUMMER10
600019,SUMMER10
600020,SUMMER10
600020,LOYALTY5
600021,SUMMER10
600022,SUMMER10
600022,LOYALTY5
600023,SUMMER10
600023,LOYALTY5
600024,SUMMER10
600025,SUMMER10
600026,SUMMER10
600027,SUMMER10
600028,SUMMER10
600029,SUMMER10
600030,SUMMER10
600031,SUMMER10
600031,LOYALTY5
600032,SUMMER10
600033,SUMMER10
600034,SUMMER10
600034,LOYALTY5
600035,SUMMER10
600035,LOYALTY5
600036,SUMMER10
600037,SUMMER10
600038,SUMMER10
600038,LOYALTY5
600039,SUMMER10
600040,SUMMER10
600040,LOYALTY5
600041,SUMMER10
600042,SUMMER10
600043,SUMMER10
600044,SUMMER10
600045,SUMMER10
600046,SUMMER10
600046,LOYALTY5
600047,SUMMER10
600047,LOYALTY5
600048,SUMMER10
600049,SUMMER10
600050,SUMMER10
600051,SUMMER10
600052,SUMMER10
600052,LOYALTY5
600053,SUMMER10
600053,LOYALTY5
600054,SUMMER10
600054,LOYALTY5
600055,SUMMER10
600056,SUMMER10
600056,LOYALTY5
600057,SUMMER10
600058,SUMMER10
600059,SUMMER10
600060,SUMMER10
600061,SUMMER10
600062,SUMMER10
600063,SUMMER10
600064,SUMMER10
600064,LOYALTY5
600065,SUMMER10
600066,SUMMER10
600066,LOYALTY5
600067,SUMMER10
600068,SUMMER10
600068,LOYALTY5
600069,SUMMER10
600069,LOYALTY5
600070,SUMMER10
600071,SUMMER10
600072,SUMMER10
600073,SUMMER10
600074,SUMMER10
600075,SUMMER10
600076,SUMMER10
600077,SUMMER10
600078,SUMMER10
600079,SUMMER10
600080,SUMMER10
600081,SUMMER10
600081,LOYALTY5
600082,SUMMER10
600082,LOYALTY5
600083,SUMMER10
600083,LOYALTY5
600084,SUMMER10
600084,LOYALTY5
600085,SUMMER10
600086,SUMMER10
600087,SUMMER10
600088,SUMMER10
600089,SUMMER10
600089,LOYALTY5
600090,SUMMER10
600091,SUMMER10
600091,LOYALTY5
600092,SUMMER10
600093,SUMMER10
600094,SUMMER10
600095,SUMMER10
600095,LOYALTY5
600096,SUMMER10
600097,SUMMER10
600097,LOYALTY5
600098,SUMMER10
600098,LOYALTY5
600099,SUMMER10
600100,SUMMER10
600100,LOYALTY5
600101,SUMMER10
600102,SUMMER10
600103,SUMMER10
600104,SUMMER10
600104,LOYALTY5
600105,SUMMER10
600106,SUMMER10
600107,SUMMER10
600108,SUMMER10
600109,SUMMER10
600110,SUMMER10
600110,LOYALTY5
600111,SUMMER10
600112,SUMMER10
600112,LOYALTY5
600113,SUMMER10
600114,SUMMER10
600115,SUMMER10
600116,SUMMER10
600117,SUMMER10
600118,SUMMER10
600119,SUMMER10
600120,SUMMER10
600121,SUMMER10
600121,LOYALTY5
600122,SUMMER10
600122,LOYALTY5
600123,SUMMER10
600123,LOYALTY5
600124,SUMMER10
600125,SUMMER10
600126,SUMMER10
600127,SUMMER10
600127,LOYALTY5
600128,SUMMER10
600128,LOYALTY5
600129,SUMMER10
600130,SUMMER10
600131,SUMMER10
600132,SUMMER10
600133,SUMMER10
600134,SUMMER10
600135,SUMMER10
600136,SUMMER10
600137,SUMMER10
600138,SUMMER10
600139,SUMMER10
600140,SUMMER10
600141,SUMMER10
600142,SUMMER10
600142,LOYALTY5
600143,SUMMER10
600144,SUMMER10
600144,LOYALTY5
600145,SUMMER10
600146,SUMMER10
600146,LOYALTY5
600147,SUMMER10
600147,LOYALTY5
600148,SUMMER10
600148,LOYALTY5
600149,SUMMER10
