order_id,customer_id,amount,currency,completed_at
600000,5286,33.93,USD,2026-08-30 18:52:00
600001,8704,49.21,USD,2026-08-30 01:00:00
600002,1358,90.06,USD,2026-08-30 23:23:00
600003,7783,203.45,USD,2026-08-30 08:31:00
600004,4161,175.28,USD,2026-08-30 17:34:00
600005,5350,179.39,USD,2026-08-30 18:35:00
600006,2443,158.36,USD,2026-08-30 21:51:00
600007,6933,247.71,USD,2026-08-30 13:21:00
600008,2536,73.86,USD,2026-08-30 13:51:00
600009,5770,164.21,USD,2026-08-30 06:44:00
600010,4291,153.31,USD,2026-08-30 03:02:00
600011,4173,99.69,USD,2026-08-30 20:58:00
600012,9252,166.47,USD,2026-08-30 16:36:00
600013,8040,99.92,USD,2026-08-30 00:40:00
600014,2469,153.45,USD,2026-08-30 09:22:00
600015,4262,174.47,USD,2026-08-30 16:56:00
600016,6116,170.74,USD,2026-08-30 03:38:00
600017,4649,104.25,USD,2026-08-30 23:12:00
600018,9554,64.32,USD,2026-08-30 04:38:00
600019,1279,197.84,USD,2026-08-30 00:12:00
600020,6015,146.07,USD,2026-08-30 20:21:00
600021,5737,138.93,USD,2026-08-30 11:24:00
600022,1881,249.97,USD,2026-08-30 04:43:00
600023,7516,154.57,USD,2026-08-30 05:27:00
600024,2459,72.65,USD,2026-08-30 03:28:00
600025,8309,219.56,USD,2026-08-30 19:42:00
600026,2252,210.35,USD,2026-08-30 14:50:00
600027,7702,125.67,USD,2026-08-30 16:27:00
600028,5355,190.43,USD,2026-08-30 02:12:00
600029,3820,184.82,USD,2026-08-30 14:31:00
600030,5114,141.42,USD,2026-08-30 00:01:00
600031,5199,99.85,USD,2026-08-30 18:51:00
600032,9468,92.42,USD,2026-08-30 16:28:00
600033,7909,232.83,USD,2026-08-30 08:26:00
600034,8777,77.97,USD,2026-08-30 19:31:00
600035,7184,130.63,USD,2026-08-30 21:30:00
600036,8655,164.1,USD,2026-08-30 15:19:00
600037,7161,169.92,USD,2026-08-30 10:23:00
600038,7525,77.46,USD,2026-08-30 22:38:00
600039,5764,201.46,USD,2026-08-30 15:46:00
600040,1935,161.59,USD,2026-08-30 17:00:00
600041,2837,158.34,USD,2026-08-30 05:01:00
600042,9150,102.16,USD,2026-08-30 21:45:00
600043,3529,231.03,USD,2026-08-30 18:03:00
600044,9599,18.48,USD,2026-08-30 08:39:00
600045,2640,125.19,USD,2026-08-30 15:04:00
600046,4987,241.06,USD,2026-08-30 11:23:00
600047,2594,48.9,USD,2026-08-30 19:20:00
600048,8829,25.64,USD,2026-08-30 22:06:00
600049,1505,226.4,USD,2026-08-30 14:46:00
600050,2368,44.85,USD,2026-08-30 22:35:00
600051,5344,163.33,USD,2026-08-30 05:39:00
600052,1332,132.43,USD,2026-08-30 20:28:00
600053,4093,207.29,USD,2026-08-30 20:08:00
600054,8324,197.95,USD,2026-08-30 14:30:00
600055,2043,127.2,USD,2026-08-30 17:17:00
600056,1554,82.23,USD,2026-08-30 09:23:00
600057,5584,216.65,USD,2026-08-30 02:32:00
600058,7085,116.21,USD,2026-08-30 08:30:00
600059,4906,35.13,USD,2026-08-30 01:45:00
600060,3839,22.69,USD,2026-08-30 17:47:00
600061,4427,22.51,USD,2026-08-30 10:23:00
600062,2271,95.72,USD,2026-08-30 22:27:00
600063,7547,173.82,USD,2026-08-30 05:46:00
600064,9102,124.05,USD,2026-08-30 17:08:00
600065,6740,45.09,USD,2026-08-30 20:04:00
600066,3462,58.63,USD,2026-08-30 16:01:00
600067,9311,188.66,USD,2026-08-30 05:18:00
600068,4654,106.25,USD,2026-08-30 18:54:00
600069,3061,147.55,USD,2026-08-30 07:44:00
600070,6185,53.35,USD,2026-08-30 13:44:00
600071,7335,149.51,USD,2026-08-30 07:35:00
600072,7243,91.44,USD,2026-08-30 06:48:00
600073,9696,17.27,USD,2026-08-30 16:28:00
600074,4828,170.59,USD,2026-08-30 17:54:00
600075,7098,204.24,USD,2026-08-30 20:34:00
600076,3447,58.51,USD,2026-08-30 08:42:00
600077,7302,161.98,USD,2026-08-30 05:44:00
600078,8736,17.88,USD,2026-08-30 02:03:00
600079,9851,167.95,USD,2026-08-30 01:07:00
600080,1527,101.39,USD,2026-08-30 03:43:00
600081,7665,67.83,USD,2026-08-30 01:34:00
600082,5808,147.85,USD,2026-08-30 07:48:00
600083,1963,33.17,USD,2026-08-30 02:30:00
600084,2967,170.42,USD,2026-08-30 05:57:00
600085,1819,246.06,USD,2026-08-30 03:44:00
600086,7968,22.14,USD,2026-08-30 21:58:00
600087,8264,82.45,USD,2026-08-30 20:45:00
600088,9775,206.72,USD,2026-08-30 07:12:00
600089,1214,80.29,USD,2026-08-30 20:13:00
600090,6422,200.78,USD,2026-08-30 08:33:00
600091,1536,152.45,USD,2026-08-30 16:05:00
600092,4706,177.45,USD,2026-08-30 11:23:00
600093,6580,231.51,USD,2026-08-30 00:23:00
600094,1847,210.63,USD,2026-08-30 13:43:00
600095,6508,22.14,USD,2026-08-30 11:08:00
600096,5320,15.61,USD,2026-08-30 02:31:00
600097,5476,153.82,USD,2026-08-30 02:43:00
